Distancia24hrs,Distancia_total_reccorida,NDVI_SMO,EVI_SMO,NDWI_SMO,NDMI_SMO,LST_SMO,CME_SMO_15,Altura_de_arbol,Sitio_cons,Sexo_macho,Sex_hembra,Temporada_seca
NA,85.92,0.85133,0.6416,-0.78994,0.39995000000000003,19.18094,1531,14.92712402,1,0,0,1
NA,36.33,0.83107,0.58272,-0.7882,0.35398,18.75687,1501,19.44335938,0,0,0,1
NA,27.18,0.83365,0.58027,-0.7733,0.40003,18.45731,1311,4.2265625,0,0,0,1
18.46,18.46,0.82863,0.586,-0.76292,0.3828,18.78955,1305,8.311645508,0,1,0,1
39.27333333,121.44,0.56783,0.4875,-0.56113,0.2681,17.97986,1532,7.437866211,1,1,0,0
26.4,143.1,0.61618,0.5346,-0.60269,0.28771,18.13419,1533,4.477661133,1,1,0,0
32.445,140.07,0.61618,0.5346,-0.60269,0.28771,18.13419,1533,16.50366211,1,0,1,0
33.02,66.04,0.80673,0.42297,-0.73364,0.45038,19.13583,1525,3.291259766,1,1,0,0
25.67,87.55,0.80083,0.53764,-0.74229,0.38346,21.65781,1294,25.91442871,0,1,0,0
51.035,246.43,0.78846,0.51074,-0.72761,0.36515,21.47147,1295,13.60778809,0,0,1,0
48.277,219.96,0.7879,0.57801,-0.73056,0.37041,21.24301,1232,0.047851563,0,0,1,0
39.01,157.55,0.83051,0.57982,-0.7627,0.41992,21.28482,1196,4.198486328,0,0,1,0
41.34,75.03,0.72492,0.45333,-0.6607,0.35041,21.16431,1245,5.374267578,0,0,1,0
31.37,63.54,0.84134,0.62665,-0.76836,0.40837,21.34869,1179,2.403442383,0,0,1,0
30.09,50.61,0.81408,0.56632,-0.75357,0.37735,21.84143,1295,25.75463867,0,0,1,0
31.83,127.34,0.77243,0.3159,-0.7076,0.41144,18.30344,1533,15.48522949,1,1,0,0
59.85,141.6,0.823,0.46307,-0.77084,0.39289,18.76443,1516,6.874389648,1,0,1,0
46.125,161.15,0.82802,0.49869,-0.77408,0.39055,18.71164,1528,11.14355469,1,0,1,0
22.35,89.01,0.82802,0.49869,-0.77408,0.39055,18.71164,1528,7.543579102,1,0,1,0
20.62,61.88,0.82802,0.49869,-0.77408,0.39055,18.71164,1524,6.938842773,1,1,0,0
5.88,11.77,0.85975,0.58878,-0.81141,0.35921,23.16684,1483,2.666137695,1,1,0,1
0.6,1.2,0.8472,0.56848,-0.80286,0.32504,23.21762,1501,27.80151367,1,1,0,1
23.95,71.85,0.8054,0.67135,-0.73984,0.37164,22.95145,1538,15.71899414,1,1,0,0
17.28,51.84,0.80926,0.67874,-0.74377,0.37163,23.08459,1529,7.212280273,1,1,0,0
14.62,43.87,0.8054,0.67135,-0.73984,0.37164,22.95145,1539,1.259155273,1,0,1,0
25.75,25.75,0.81647,0.70163,-0.7541,0.39421,23.32153,1525,22.39685059,1,0,1,0
9.42,9.42,0.81099,0.66697,-0.74621,0.38955,23.3046,1520,23.67346191,1,1,0,0
48.75,214.46,0.73511,0.55992,-0.66909,0.32623,23.88519,1219,19.3292236,0,0,1,0
18.66,74.64,0.7785,0.5368,-0.72743,0.34306,22.92722,1305,16.2489014,0,0,1,0
11.58,23.12,0.80619,0.55311,-0.74657,0.37502,23.02896,1302,7.88171387,0,1,0,0
